pid,Number,Name,Type1,Type2,HP,Spa,Spd,Spe,Att,Def,Experience,FinalEvolution,CatchRate,Legendary,outterR,innerR,leftX1,leftX2,rightX2,rightX1,innerX,Height,Weight,BMI
181,646,Black Kyurem,Dragon,Ice,80,70,95,150,170,100,1250000,1,3,1,13.5,3.375,-10.5,3.125,16.5,9.875,6.5,2.1,79,17.9
182,647,Keldeo,Water,Fighting,160,65,110,30,72,90,1250000,1,3,1,8.1,2.025,-5.1,0.075,11.1,4.125,2.1,2.1,460,104.3
183,648,Meloetta,Normal,Psychic,90,95,125,85,77,77,1250000,1,3,1,7.7,1.925,-4.7,1.075,10.7,4.925,3,1.7,55.4,19.2
184,648,Meloetta-Pirouette,Normal,Fighting,90,125,100,95,128,90,1250000,1,3,1,10.9,2.725,-7.9,2.175,13.9,7.625,4.9,1.7,50.9,17.6
185,649,Genesect,Bug,Steel,90,125,90,100,120,95,1250000,1,3,1,10.75,2.6875,-7.75,1.5625,13.75,6.9375,4.25,1.6,52.6,20.5
186,692,Clauncher,Water,,90,85,90,100,53,62,1250000,0,225,0,5.75,1.4375,219.25,223.1125,230.75,225.9875,224.55,1.6,58.2,22.7
187,693,Clawitzer,Water,,90,125,85,90,73,88,1250000,1,55,0,8.05,2.0125,46.95,52.2375,63.05,56.2625,54.25,2,60,15
188,703,Carbink,Rock,Fairy,90,100,125,90,50,150,1250000,1,60,0,10,2.5,50,52.5,70,57.5,55,2,66,16.5
189,704,Goomy,Dragon,,41,50,50,50,50,35,1250000,0,45,0,4.25,1.0625,40.75,44.6875,49.25,46.8125,45.75,1.8,3.3,1
190,705,Sliggoo,Dragon,,61,70,70,70,75,53,1250000,0,45,0,6.4,1.6,38.6,44.5,51.4,47.7,46.1,4,16.5,1
191,706,Goodra,Dragon,,91,100,100,80,100,70,1250000,1,45,0,8.5,2.125,36.5,44.375,53.5,48.625,46.5,2.2,210,43.4
192,716,Xerneas,Fairy,,106,154,90,130,131,95,1250000,1,45,1,11.3,2.825,33.7,43.975,56.3,49.625,46.8,2,122,30.5
193,717,Yveltal,Dark,Flying,106,194,120,140,131,95,1250000,1,45,1,11.3,2.825,33.7,43.975,56.3,49.625,46.8,1.5,33,14.7
194,718,Zygarde,Dragon,Ground,106,154,100,130,100,121,1250000,1,3,1,11.05,2.7625,-8.05,-0.8125,14.05,4.7125,1.95,2.3,127,24
195,718,Zygarde 10%,Dragon,Ground,100,100,100,100,100,71,1250000,1,3,1,8.55,2.1375,-5.55,2.3125,11.55,6.5875,4.45,0.4,4,25
196,718,Zygarde Complete,Dragon,Ground,45,49,65,45,100,121,1250000,1,3,1,11.05,2.7625,-8.05,-0.8125,14.05,4.7125,1.95,0.9,6.4,7.9
197,719,Mega Diancie,Rock,Fairy,60,63,80,60,160,110,1250000,1,3,1,13.5,3.375,-10.5,2.125,16.5,8.875,5.5,1.2,15.8,11
198,719,Diancie,Rock,Fairy,80,83,100,80,100,150,1250000,1,3,1,12.5,3.125,-9.5,-2.625,15.5,3.625,0.5,1.8,100.5,31
199,720,Hoopa,Psychic,Ghost,39,60,50,65,110,60,1250000,1,3,1,8.5,2.125,-5.5,3.375,11.5,7.625,5.5,0.5,7.9,31.6
200,720,Hoopa Unbound,Psychic,Dark,58,80,65,80,160,60,1250000,1,3,1,11,2.75,-8,5.25,14,10.75,8,0.9,19,23.5
201,721,Volcanion,Fire,Water,78,109,85,100,110,120,1250000,1,3,1,11.5,2.875,-8.5,-0.375,14.5,5.375,2.5,1.7,79.5,27.5
202,765,Oranguru,Normal,Psychic,50,44,48,43,60,80,1250000,1,45,0,7,1.75,38,42.25,52,45.75,44,0.6,9.5,26.4
203,766,Passimian,Fighting,,65,59,63,58,120,90,1250000,1,45,0,10.5,2.625,34.5,43.875,55.5,49.125,46.5,1.1,25,20.7
204,772,Type: Null,Normal,,85,79,83,78,95,95,1250000,0,3,1,9.5,2.375,-6.5,0.625,12.5,5.375,3,2.3,88.8,16.8
205,773,Silvally,Normal,,35,35,45,20,95,95,1250000,1,3,1,9.5,2.375,-6.5,0.625,12.5,5.375,3,0.8,6,9.4
206,775,Komala,Normal,,85,45,55,90,115,65,1250000,1,45,0,9,2.25,36,45.25,54,49.75,47.5,1.8,32.5,10
207,782,Jangmo-o,Dragon,,60,36,56,50,55,65,1250000,0,45,0,6,1.5,39,43,51,46,44.5,0.7,21.2,43.3
208,783,Hakamo-o,Dragon,Fighting,100,86,96,70,75,90,1250000,0,45,0,8.25,2.0625,36.75,42.1875,53.25,46.3125,44.25,1.6,40.8,15.9
209,784,Kommo-o,Dragon,Fighting,40,40,80,55,110,125,1250000,1,45,0,11.75,2.9375,33.25,41.3125,56.75,47.1875,44.25,1,10.8,10.8
210,785,Tapu Koko,Electric,Fairy,55,55,110,85,115,85,1250000,1,3,1,10,2.5,-7,2,13,7,4.5,1.4,35.6,18.2
211,786,Tapu Lele,Psychic,Fairy,40,40,40,30,85,75,1250000,1,3,1,8,2,-5,1.5,11,5.5,3.5,0.5,8.5,34
212,787,Tapu Bulu,Grass,Fairy,70,60,70,40,130,115,1250000,1,3,1,12.25,3.0625,-9.25,0.6875,15.25,6.8125,3.75,1.1,33.5,27.7
213,788,Tapu Fini,Water,Fairy,85,70,80,130,75,115,1250000,1,3,1,9.5,2.375,-6.5,-1.375,12.5,3.375,1,1.8,75,23.1
214,789,Cosmog,Psychic,,75,56,56,67,29,31,1250000,0,45,1,3,0.75,42,44.15,48,45.65,44.9,0.5,12,48
215,790,Cosmoem,Psychic,,125,76,76,67,29,131,1250000,0,45,1,8,2,37,37.9,53,41.9,39.9,1.2,22.5,15.6
216,791,Solgaleo,Psychic,Steel,20,35,35,60,137,107,1250000,1,45,1,12.2,3.05,32.8,43.45,57.2,49.55,46.5,0.3,2,22.2
217,792,Lunala,Psychic,Ghost,50,45,55,15,113,89,1250000,1,45,1,10.1,2.525,34.9,43.675,55.1,48.725,46.2,0.3,3,33.3
218,793,Nihilego,Rock,Poison,90,40,20,15,53,47,1250000,1,45,1,5,1.25,40,44.05,50,46.55,45.3,0.3,1,11.1
219,794,Buzzwole,Bug,Fighting,35,40,65,20,139,139,1250000,1,45,1,13.9,3.475,31.1,41.525,58.9,48.475,45,0.3,1.5,16.7
220,795,Pheromosa,Bug,Fighting,55,80,105,40,137,37,1250000,1,45,1,8.7,2.175,36.3,47.825,53.7,52.175,50,0.6,3.2,8.9
221,796,Xurkitree,Electric,,40,70,45,70,89,71,1250000,1,45,1,8,2,37,43.9,53,47.9,45.9,0.2,2,50
222,797,Celesteela,Steel,Flying,65,95,70,95,101,103,1250000,1,45,1,10.2,2.55,34.8,42.35,55.2,47.45,44.9,1.5,15,6.7
223,798,Kartana,Grass,Steel,55,65,45,35,181,131,1250000,1,45,1,15.6,3.9,29.4,43.6,60.6,51.4,47.5,0.6,7.8,21.7
224,799,Guzzlord,Dark,Dragon,70,80,60,45,101,53,1250000,1,45,1,7.7,1.925,37.3,45.475,52.7,49.325,47.4,0.8,13.3,20.8
225,800,Necrozma,Psychic,,90,115,90,55,107,101,1250000,1,255,1,10.4,2.6,244.6,252.7,265.4,257.9,255.3,1.4,61.5,31.4
226,800,Dusk Mane Necrozma,Psychic,Steel,90,165,110,45,157,127,1250000,1,255,1,14.2,3.55,240.8,252.95,269.2,260.05,256.5,1.4,61.5,31.4
227,800,Dawn Wings Necrozma,Psychic,Ghost,75,90,100,50,113,109,1250000,1,255,1,11.1,2.775,243.9,252.425,266.1,257.975,255.2,0.4,5.8,36.3
228,800,Ultra Necrozma,Psychic,Dragon,70,20,50,40,167,97,1250000,1,255,1,13.2,3.3,241.8,255.2,268.2,261.8,258.5,0.4,8.5,53.1
229,801,Magearna,Steel,Fairy,100,60,80,50,95,115,1250000,1,3,1,10.5,2.625,-7.5,-0.625,13.5,4.625,2,0.8,28.5,44.5
230,802,Marshadow,Fighting,Ghost,70,30,65,30,125,80,1250000,1,3,1,10.25,2.5625,-7.25,2.6875,13.25,7.8125,5.25,1.2,38,26.4
231,803,Poipole,Poison,,90,90,100,70,73,67,1250000,0,45,1,7,1.75,38,43.55,52,47.05,45.3,1.1,33.9,28
232,804,Naganadel,Poison,Dragon,35,35,55,50,73,73,1250000,1,45,1,7.3,1.825,37.7,43.175,52.3,46.825,45,0.4,0.5,3.1
233,805,Stakataka,Rock,Steel,55,45,65,80,131,211,1250000,1,30,1,17.1,4.275,12.9,21.725,47.1,30.275,26,0.6,1,2.8
234,806,Blacephalon,Fire,Ghost,75,55,95,110,127,53,1250000,1,30,1,9,2.25,21,31.45,39,35.95,33.7,0.8,3,4.7
235,807,Zeraora,Electric,,55,40,55,85,112,75,1250000,1,3,1,9.35,2.3375,-6.35,2.5125,12.35,7.1875,4.85,0.8,11.5,18
236,808,Meltan,Steel,,30,30,30,30,65,65,1250000,0,3,1,6.5,1.625,-3.5,1.375,9.5,4.625,3,0.3,1.8,20
237,809,Melmetal,Steel,,75,105,85,30,143,143,1250000,1,3,1,14.3,3.575,-11.3,-0.575,17.3,6.575,3,0.8,8.5,13.3
238,846,Arrokuda,Water,,65,75,45,95,63,40,1250000,0,255,0,5.15,1.2875,249.85,254.8625,260.15,257.4375,256.15,1.2,38,26.4
239,847,Barraskewda,Water,,55,25,25,15,123,60,1250000,1,60,0,9.15,2.2875,50.85,60.8625,69.15,65.4375,63.15,0.4,8.5,53.1
240,856,Hatenna,Psychic,,95,65,65,35,30,45,1250000,0,235,0,3.75,0.9375,231.25,233.3125,238.75,235.1875,234.25,1.4,75,38.3
241,857,Hattrem,Psychic,,65,130,95,110,40,65,1250000,0,120,0,5.25,1.3125,114.75,117.4375,125.25,120.0625,118.75,0.9,26.5,32.7
242,858,Hatterene,Psychic,Fairy,95,60,130,65,90,95,1250000,1,45,0,9.25,2.3125,35.75,42.4375,54.25,47.0625,44.75,1,27,27
243,874,Stonjourner,Rock,,60,85,42,91,125,135,1250000,1,60,0,13,3.25,47,56.25,73,62.75,59.5,0.5,2.1,8.4
244,875,Eiscue,Ice,,95,100,110,30,80,110,1250000,0,60,0,9.5,2.375,50.5,56.125,69.5,60.875,58.5,2,79.5,19.9
245,875,Eiscue Noice Face,Ice,,95,110,110,30,80,70,1250000,0,60,0,7.5,1.875,52.5,58.625,67.5,62.375,60.5,1.8,79.5,24.5
246,880,Dracozolt,Electric,Dragon,60,85,85,85,100,90,1250000,1,45,0,9.5,2.375,35.5,43.125,54.5,47.875,45.5,0.7,1,2
247,881,Arctozolt,Electric,Ice,48,72,48,48,100,90,1250000,1,45,0,9.5,2.375,35.5,43.125,54.5,47.875,45.5,0.5,5,20
248,882,Dracovish,Water,Dragon,190,33,58,33,90,100,1250000,1,45,0,9.5,2.375,35.5,42.125,54.5,46.875,44.5,1.3,28.5,16.9
249,883,Arctovish,Water,Ice,70,90,65,85,90,100,1250000,1,45,0,9.5,2.375,35.5,42.125,54.5,46.875,44.5,1.5,41.5,18.4
250,885,Dreepy,Dragon,Ghost,50,35,35,15,60,30,1250000,0,45,0,4.5,1.125,40.5,45.375,49.5,47.625,46.5,0.6,7.2,20
251,886,Drakloak,Dragon,Ghost,75,60,60,40,80,50,1250000,0,45,0,6.5,1.625,38.5,44.875,51.5,48.125,46.5,1.2,125.8,87.4
252,887,Dragapult,Dragon,Ghost,100,65,65,45,120,75,1250000,1,45,0,9.75,2.4375,35.25,44.8125,54.75,49.6875,47.25,1.5,14,6.2
253,888,Zacian,Fairy,,65,35,65,85,130,115,1250000,1,10,1,12.25,3.0625,-2.25,7.6875,22.25,13.8125,10.75,1.1,64.8,53.6
254,888,Zacian Crowned Sword,Fairy,Steel,75,55,65,30,170,115,1250000,1,10,1,14.25,3.5625,-4.25,9.1875,24.25,16.3125,12.75,9.2,400,4.7
255,889,Zamazenta,Fighting,,75,55,95,30,130,115,1250000,1,10,1,12.25,3.0625,-2.25,7.6875,22.25,13.8125,10.75,10.5,740,6.7
256,889,Zamazenta Crowned Shield,Fighting,Steel,60,40,40,30,130,145,1250000,1,10,1,13.75,3.4375,-3.75,5.8125,23.75,12.6875,9.25,0.6,7.8,21.7
257,890,Eternatus,Poison,Dragon,90,60,60,45,85,95,1250000,1,255,1,9,2.25,246,252.25,264,256.75,254.5,1.4,48.7,24.8
258,891,Kubfu,Fighting,,65,55,55,85,90,60,1250000,0,3,1,7.5,1.875,-4.5,2.625,10.5,6.375,4.5,0.5,3.9,15.6
259,892,Urshifu Rapid Strike Style,Fighting,Water,70,55,80,65,130,100,1250000,1,3,1,11.5,2.875,-8.5,1.625,14.5,7.375,4.5,1.8,118,36.4
260,892,Urshifu Single Strike Style,Fighting,Dark,70,65,100,75,130,100,1250000,1,3,1,11.5,2.875,-8.5,1.625,14.5,7.375,4.5,2,125,31.3
261,893,Zarude,Dark,Grass,20,10,230,5,120,105,1250000,1,3,1,11.25,2.8125,-8.25,0.9375,14.25,6.5625,3.75,0.6,20.5,56.9
262,894,Regieleki,Electric,,80,40,95,85,100,50,1250000,1,3,1,7.5,1.875,-4.5,3.625,10.5,7.375,5.5,1.5,54,24
263,895,Regidrago,Dragon,,80,40,105,75,100,50,1250000,1,3,1,7.5,1.875,-4.5,3.625,10.5,7.375,5.5,1.7,62.5,21.6
264,896,Glastrier,Ice,,55,35,75,115,145,130,1250000,1,3,1,13.75,3.4375,-10.75,0.3125,16.75,7.1875,3.75,0.9,28,34.6
265,897,Spectrier,Ghost,,60,50,50,40,65,60,1250000,1,3,1,6.25,1.5625,-3.25,1.6875,9.25,4.8125,3.25,0.6,8.8,24.4
266,898,Calyrex,Psychic,Grass,90,75,75,55,80,80,1250000,1,3,1,8,2,-5,1,11,5,3,1.8,125.8,38.8
267,898,Calyrex Ice Rider,Psychic,Ice,40,70,40,20,165,150,1250000,1,3,1,15.75,3.9375,-12.75,-0.1875,18.75,7.6875,3.75,0.7,35,71.4
268,898,Calyrex Shadow Rider,Psychic,Ghost,60,90,80,30,85,80,1250000,1,3,1,8.25,2.0625,-5.25,1.1875,11.25,5.3125,3.25,0.8,55,85.9
269,1,Bulbasaur,Grass,Poison,50,30,30,50,49,49,1059860,0,45,0,4.9,1.225,40.1,43.775,49.9,46.225,45,0.4,6.5,40.6
270,2,Ivysaur,Grass,Poison,100,60,60,50,62,63,1059860,0,45,0,6.25,1.5625,38.75,43.3875,51.25,46.5125,44.95,1.1,55.8,46.1
271,3,Venusaur,Grass,Poison,65,65,95,35,82,83,1059860,1,45,0,8.25,2.0625,36.75,42.8875,53.25,47.0125,44.95,0.6,5,13.9
272,3,Mega Venusaur,Grass,Poison,60,65,100,30,100,123,1059860,1,45,0,11.15,2.7875,33.85,41.0625,56.15,46.6375,43.85,0.6,0.5,1.4
273,4,Charmander,Fire,,35,65,35,65,52,43,1059860,0,45,0,4.75,1.1875,40.25,44.2625,49.75,46.6375,45.45,0.6,12,33.3
274,5,Charmeleon,Fire,,75,105,75,45,64,58,1059860,0,45,0,6.1,1.525,38.9,43.775,51.1,46.825,45.3,0.9,28.5,35.2
275,6,Charizard,Fire,Flying,45,65,45,75,84,78,1059860,1,45,0,8.1,2.025,36.9,43.275,53.1,47.325,45.3,0.9,16,19.8
276,6,Mega Charizard Y,Fire,Flying,85,80,140,70,104,78,1059860,1,45,0,9.1,2.275,35.9,44.025,54.1,48.575,46.3,2.1,220,49.9
277,6,Mega Charizard X,Fire,Dragon,65,40,70,70,130,111,1059860,1,45,0,12.05,3.0125,32.95,42.9375,57.05,48.9625,45.95,1.7,50.5,17.5
278,7,Squirtle,Water,,45,80,50,65,48,65,1059860,0,45,0,5.65,1.4125,39.35,42.7375,50.65,45.5625,44.15,0.6,10.8,30
279,8,Wartortle,Water,,75,110,80,95,63,80,1059860,0,45,0,7.15,1.7875,37.85,42.3625,52.15,45.9375,44.15,1.4,35,17.9
280,9,Blastoise,Water,,75,140,90,115,83,100,1059860,1,45,0,9.15,2.2875,35.85,41.8625,54.15,46.4375,44.15,1.9,49.5,13.7
281,9,Mega Blastoise,Water,,75,95,95,85,103,120,1059860,1,45,0,11.15,2.7875,33.85,41.3625,56.15,46.9375,44.15,1.8,152,46.9
282,16,Pidgey,Normal,Flying,90,40,40,40,45,40,1059860,0,255,0,4.25,1.0625,250.75,254.1875,259.25,256.3125,255.25,0.5,33.5,134
283,17,Pidgeotto,Normal,Flying,90,60,60,50,60,55,1059860,0,120,0,5.75,1.4375,114.25,118.8125,125.75,121.6875,120.25,1.1,120,99.2
284,18,Pidgeot,Normal,Flying,85,105,95,60,80,75,1059860,1,45,0,7.75,1.9375,37.25,43.3125,52.75,47.1875,45.25,0.6,32.5,90.3
285,18,Mega Pidgeot,Normal,Flying,73,85,65,85,80,80,1059860,1,45,0,8,2,37,43,53,47,45,1.4,71.2,36.3
286,29,Nidoran?��,Poison,,55,20,45,75,47,52,1059860,0,235,0,4.95,1.2375,230.05,233.5125,239.95,235.9875,234.75,1.2,58,40.3
287,30,Nidorina,Poison,,35,35,35,35,62,67,1059860,0,120,0,6.45,1.6125,113.55,118.1375,126.45,121.3625,119.75,0.7,21,42.9
288,31,Nidoqueen,Poison,Ground,50,35,110,70,92,87,1059860,1,45,0,8.95,2.2375,36.05,43.0125,53.95,47.4875,45.25,1.4,48,24.5
289,33,Nidorino,Poison,,45,85,65,65,72,57,1059860,0,120,0,6.45,1.6125,113.55,119.1375,126.45,122.3625,120.75,0.4,6,37.5
290,34,Nidoking,Poison,Ground,45,65,55,95,102,77,1059860,1,45,0,8.95,2.2375,36.05,44.0125,53.95,48.4875,46.25,0.6,23.5,65.3
291,43,Oddish,Grass,Poison,45,70,55,83,50,55,1059860,0,255,0,5.25,1.3125,249.75,253.4375,260.25,256.0625,254.75,0.7,21.4,43.7
292,44,Gloom,Grass,Poison,95,40,70,100,65,70,1059860,0,120,0,6.75,1.6875,113.25,118.0625,126.75,121.4375,119.75,1.2,75.5,52.4
293,45,Vileplume,Grass,Poison,255,75,135,55,80,85,1059860,1,45,0,8.25,2.0625,36.75,42.6875,53.25,46.8125,44.75,1.5,46.8,20.8
294,60,Poliwag,Water,,90,115,100,115,50,40,1059860,0,255,0,4.5,1.125,250.5,254.375,259.5,256.625,255.5,1.9,178,49.3
295,61,Poliwhirl,Water,,115,90,75,100,65,65,1059860,0,120,0,6.5,1.625,113.5,118.375,126.5,121.625,120,2.1,198,44.9
296,62,Poliwrath,Water,Fighting,100,90,115,85,95,95,1059860,1,45,0,9.5,2.375,35.5,42.625,54.5,47.375,45,2,187,46.8
297,63,Abra,Psychic,,50,45,50,41,20,15,1059860,0,200,0,1.75,0.4375,198.25,199.8125,201.75,200.6875,200.25,0.6,72,200
298,64,Kadabra,Psychic,,70,65,70,51,35,30,1059860,0,100,0,3.25,0.8125,96.75,99.4375,103.25,101.0625,100.25,1.2,152,105.6
299,65,Alakazam,Psychic,,100,95,100,61,50,45,1059860,1,50,0,4.75,1.1875,45.25,49.0625,54.75,51.4375,50.25,2,202,50.5
300,65,Mega Alakazam,Psychic,,100,95,120,71,50,65,1059860,1,50,0,5.75,1.4375,44.25,47.8125,55.75,50.6875,49.25,2.5,255,40.8
301,66,Machop,Fighting,,106,90,154,110,80,50,1059860,0,180,0,6.5,1.625,173.5,179.875,186.5,183.125,181.5,5.2,216,8
302,67,Machoke,Fighting,,106,110,154,90,100,70,1059860,0,90,0,8.5,2.125,81.5,89.375,98.5,93.625,91.5,3.8,199,13.8
303,68,Machamp,Fighting,,100,100,100,100,130,80,1059860,1,45,0,10.5,2.625,34.5,44.875,55.5,50.125,47.5,0.6,5,13.9
304,69,Bellsprout,Grass,Poison,40,65,55,70,75,35,1059860,0,255,0,5.5,1.375,249.5,255.625,260.5,258.375,257,0.5,5,20
305,70,Weepinbell,Grass,Poison,50,85,65,95,90,50,1059860,0,120,0,7,1.75,113,120.25,127,123.75,122,0.9,21.6,26.7
306,71,Victreebel,Grass,Poison,70,105,85,120,105,65,1059860,1,45,0,8.5,2.125,36.5,44.875,53.5,49.125,47,1.7,52.2,18.1
307,74,Geodude,Rock,Ground,70,145,85,145,80,100,1059860,0,255,0,9,2.25,246,251.75,264,256.25,254,1.9,55.2,15.3
308,74,Alolan Geodude,Rock,Electric,45,70,50,45,80,100,1059860,0,255,0,9,2.25,246,251.75,264,256.25,254,0.4,2.5,15.6
309,75,Graveler,Rock,Ground,60,85,60,55,95,115,1059860,0,120,0,10.5,2.625,109.5,116.375,130.5,121.625,119,0.9,19.5,24.1
310,75,Alolan Graveler,Rock,Electric,80,110,70,80,95,115,1059860,0,120,0,10.5,2.625,109.5,116.375,130.5,121.625,119,1.9,52,14.4
311,76,Golem,Rock,Ground,80,130,80,100,120,130,1059860,1,45,0,12.5,3.125,32.5,41.375,57.5,47.625,44.5,1.9,52,14.4
312,76,Alolan Golem,Rock,Electric,50,50,50,40,120,130,1059860,1,45,0,12.5,3.125,32.5,41.375,57.5,47.625,44.5,0.4,7.6,47.5
313,92,Gastly,Ghost,Poison,70,60,70,50,35,30,1059860,0,190,0,3.25,0.8125,186.75,189.4375,193.25,191.0625,190.25,0.7,28,57.1
314,93,Haunter,Ghost,Poison,100,85,90,60,50,45,1059860,0,90,0,4.75,1.1875,85.25,89.0625,94.75,91.4375,90.25,1.5,81.9,36.4
315,94,Gengar,Ghost,Poison,100,95,110,70,65,60,1059860,1,45,0,6.25,1.5625,38.75,43.6875,51.25,46.8125,45.25,1.9,102,28.3
316,94,Mega Gengar,Ghost,Poison,35,30,30,35,65,80,1059860,1,45,0,7.25,1.8125,37.75,42.4375,52.25,46.0625,44.25,0.5,13.6,54.4
317,151,Mew,Psychic,,70,60,60,70,100,100,1059860,1,45,1,10,2.5,35,42.5,55,47.5,45,1,37,37
318,152,Chikorita,Grass,,38,30,41,60,49,65,1059860,0,45,0,5.7,1.425,39.3,42.775,50.7,45.625,44.2,0.4,17.5,109.4
319,153,Bayleef,Grass,,38,30,41,60,62,80,1059860,0,45,0,7.1,1.775,37.9,42.325,52.1,45.875,44.1,0.4,17.5,109.4
320,154,Meganium,Grass,,78,50,61,100,82,100,1059860,1,45,0,9.1,2.275,35.9,41.825,54.1,46.375,44.1,0.5,32.5,130
321,155,Cyndaquil,Fire,,78,50,61,100,52,43,1059860,0,45,0,4.75,1.1875,40.25,44.2625,49.75,46.6375,45.45,0.5,32.5,130
322,156,Quilava,Fire,,45,20,30,20,64,58,1059860,0,45,0,6.1,1.525,38.9,43.775,51.1,46.825,45.3,0.3,3.6,40
323,157,Typhlosion,Fire,,50,25,25,15,84,78,1059860,1,45,0,8.1,2.025,36.9,43.275,53.1,47.325,45.3,0.6,10,27.8
324,158,Totodile,Water,,60,100,50,65,65,64,1059860,0,45,0,6.45,1.6125,38.55,43.4375,51.45,46.6625,45.05,1,28.4,28.4
325,159,Croconaw,Water,,50,25,25,15,80,80,1059860,0,45,0,8,2,37,43,53,47,45,0.7,11.5,23.5
326,160,Feraligatr,Water,,60,50,90,65,105,100,1059860,1,45,0,10.25,2.5625,34.75,42.6875,55.25,47.8125,45.25,1.2,31.6,21.9
327,179,Mareep,Electric,,40,40,50,30,40,40,1059860,0,235,0,4,1,231,234,239,236,235,0.5,2.6,10.4
328,180,Flaaffy,Electric,,60,60,70,50,55,55,1059860,0,120,0,5.5,1.375,114.5,118.625,125.5,121.375,120,1.2,32.5,22.6
329,181,Ampharos,Electric,,80,90,100,70,75,85,1059860,1,45,0,8,2,37,42.5,53,46.5,44.5,1.5,55,24.4
330,181,Mega Ampharos,Electric,Dragon,40,30,30,30,95,105,1059860,1,45,0,10,2.5,35,42,55,47,44.5,0.5,4,16
331,182,Bellossom,Grass,,70,60,40,60,80,95,1059860,1,45,0,8.75,2.1875,36.25,42.0625,53.75,46.4375,44.25,1,28,28
332,186,Politoed,Water,,90,90,60,80,75,75,1059860,1,45,0,7.5,1.875,37.5,43.125,52.5,46.875,45,1.3,59.6,35.3
333,187,Hoppip,Grass,Flying,40,30,30,85,35,40,1059860,0,255,0,3.75,0.9375,251.25,253.8125,258.75,255.6875,254.75,0.3,2.3,25.6
334,188,Skiploom,Grass,Flying,60,75,50,125,45,50,1059860,0,120,0,4.75,1.1875,115.25,118.5625,124.75,120.9375,119.75,0.7,19.8,40.4
335,189,Jumpluff,Grass,Flying,40,55,30,85,55,70,1059860,1,45,0,6.25,1.5625,38.75,42.6875,51.25,45.8125,44.25,0.6,9.5,26.4
336,191,Sunkern,Grass,,60,95,70,65,30,30,1059860,0,235,0,3,0.75,232,234.25,238,235.75,235,1.2,28,19.4
337,192,Sunflora,Grass,,28,45,35,40,75,55,1059860,1,120,0,6.5,1.625,113.5,119.375,126.5,122.625,121,0.4,6.6,41.3
338,198,Murkrow,Dark,Flying,38,65,55,50,85,42,1059860,0,30,0,6.35,1.5875,23.65,30.5625,36.35,33.7375,32.15,0.8,20.2,31.6
339,207,Gligar,Ground,Flying,68,125,115,80,75,105,1059860,0,60,0,9,2.25,51,56.25,69,60.75,58.5,1.6,48.4,18.9
340,213,Shuckle,Bug,Rock,68,165,135,100,10,230,1059860,1,190,0,12,3,178,176,202,182,179,1.6,48.4,18.9
341,215,Sneasel,Dark,Ice,40,50,52,65,95,55,1059860,0,60,0,7.5,1.875,52.5,60.125,67.5,63.875,62,0.5,1.7,6.8
342,251,Celebi,Psychic,Grass,70,100,82,80,100,100,1059860,1,45,1,10,2.5,35,42.5,55,47.5,45,0.8,3.6,5.6
343,252,Treecko,Grass,,60,40,60,35,45,35,1059860,0,45,0,4,1,41,44.5,49,46.5,45.5,0.4,4.5,28.1
344,253,Grovyle,Grass,,60,60,60,70,65,45,1059860,0,45,0,5.5,1.375,39.5,44.625,50.5,47.375,46,1.2,39.2,27.2
345,254,Sceptile,Grass,,60,35,35,30,85,65,1059860,1,45,0,7.5,1.875,37.5,44.125,52.5,47.875,46,0.8,24,37.5
346,254,Mega Sceptile,Grass,Dragon,80,55,55,90,110,75,1059860,1,45,0,9.25,2.3125,35.75,44.4375,54.25,49.0625,46.75,1.4,46.5,23.7
347,255,Torchic,Fire,,150,95,65,100,60,40,1059860,0,45,0,5,1.25,40,44.75,50,47.25,46,2,130.5,32.6
348,256,Combusken,Fire,Fighting,31,30,30,40,85,60,1059860,0,45,0,7.25,1.8125,37.75,44.4375,52.25,48.0625,46.25,0.5,5.5,22
349,257,Blaziken,Fire,Fighting,61,50,50,160,120,70,1059860,1,45,0,9.5,2.375,35.5,45.125,54.5,49.875,47.5,0.8,12,18.8
350,257,Mega Blaziken,Fire,Fighting,1,30,30,40,160,80,1059860,1,45,0,12,3,33,46,57,52,49,0.8,1.2,1.9
351,258,Mudkip,Water,,64,51,23,28,70,50,1059860,0,45,0,6,1.5,39,44.5,51,47.5,46,0.6,16.3,45.3
352,259,Marshtomp,Water,Ground,84,71,43,48,85,70,1059860,0,45,0,7.75,1.9375,37.25,43.8125,52.75,47.6875,45.75,1,40.5,40.5
353,260,Swampert,Water,Ground,104,91,73,68,110,90,1059860,1,45,0,10,2.5,35,43.5,55,48.5,46,1.5,84,37.3
354,260,Mega Swampert,Water,Ground,72,20,30,25,150,110,1059860,1,45,0,13,3.25,32,43.75,58,50.25,47,1,86.4,86.4
355,270,Lotad,Water,Grass,144,40,60,50,30,30,1059860,0,255,0,3,0.75,252,254.25,258,255.75,255,2.3,253.8,48
356,271,Lombre,Water,Grass,50,20,40,20,50,50,1059860,0,120,0,5,1.25,115,118.75,125,121.25,120,0.2,2,50
357,272,Ludicolo,Water,Grass,30,45,90,30,70,70,1059860,1,45,0,7,1.75,38,43.25,52,46.75,45,1,97,97
358,273,Seedot,Grass,,50,35,35,50,40,50,1059860,0,255,0,4.5,1.125,250.5,253.375,259.5,255.625,254.5,0.6,11,30.6
